		dados de 2008	ind		densidade (indiv/ha)	abundancia (indivi)			densidade	abundancia
1C	AP	Phylloscartes ventralis	1	5	42,463					
1C	AP	Phylloscartes ventralis	1	15	4,718	27,790	MI			
1C	AP	Pyrrhocoma ruficeps 	1	25	1,699	1,000	FSAF			
1C	AP	Basileuterus culicivorus	1	25	1,699	1,000	FSAF			
1C	AP	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
1C	AP	Phyllomyias virescens 	1	25	1,699	1,000	PID			
										
2A	AP	Turdus albicollis	2	25	3,397	2,001	POS	POS	3,397	2,001
2A	AP	Poospiza lateralis	2	15	9,436					
2A	AP	Poospiza lateralis	1	25	1,699	6,558	OB	OB	11,135	6,558
2A	AP	Ramphastos dicolorus	1	25	1,699	1,000	FF	FF	1,699	1,000
2A	AP	Phyllomyias virescens 	4	25	6,794	4,002	PID	PID	27,742	16,340
2A	AP	Leptasthenura setaria	3	15	14,154	8,337	PID			
2B	AP	Phylloscartes ventralis	1	15	4,718					
2A	AP	Phylloscartes ventralis	1	25	1,699	3,779	MI	MI	12,833	7,559
2A	AP	Parula pitiayumi	2	25	3,397	2,001	PID			
2A	AP	Syndactyla rufosuperciliata	2	25	3,397	2,001	FSAF	FSAF	24,345	14,339
2A	AP	Vireo olivaceus	2	25	3,397	2,001	POD	POD	5,096	3,001
2A	AP	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
2A	AP	Basileuterus leucoblepharus	1	25	1,699	1,000	FSGAF	FSGAF	1,699	1,000
2B	AP	Cranioleuca obsoleta	1	15	4,718					
2B	AP	Cranioleuca obsoleta	1	25	1,699	3,779	MI			
2B	AP	Lathrotriccus euleri	1	15	4,718					
2C	AP	Lathrotriccus euleri	1	25	1,699	3,779	FSAF			
2B	AP	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR	ITR	3,397	2,001
2B	AP	Synallaxis cinerascens	1	15	4,718	2,779	FSAF			
2B	AP	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
2B	AP	Sittasomus griseicapillus	1	25	1,699	1,000	ITR			
2C	AP	Hemitriccus obsoletus	1	15	4,718	2,779	FSAF			
2C	AP	Hylophilus poicilotis	1	25	1,699	1,000	IB	IB	1,699	1,000
2C	AP	Stephanophorus diadematus	1	25	1,699	1,000	POD			
2C	AP	Zonotrichia capensis	1	15	4,718					
2C	AP	Zonotrichia capensis	1	25	1,699	3,779	GB	GB	6,417	3,779
2C	AP	Basileuterus culicivorus	2	25	3,397	2,001	FSAF			
2C	AP	Pyrrhocoma ruficeps 	1	25	1,699	1,000	FSAF			
										
3A	AP	Phyllomyias virescens 	1	15	4,718					
3C	AP	Phyllomyias virescens 	1	25	1,699	3,779	PID	PID	38,122	22,454
3A	AP	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
3A	AP	Phylloscartes ventralis	5	15	23,590					
3A	AP	Phylloscartes ventralis	1	25	1,699	14,895	MI	MI	25,289	14,895
3A	AP	Parula pitiayumi	1	15	4,718					
3B	AP	Parula pitiayumi	1	25	1,699	3,779	PID			
3A	AP	Vireo olivaceus	1	25	1,699	1,000	POD	POD	6,794	4,002
3A	AP	Saltator maxillosus	2	15	9,436	5,558	OB	OB	11,135	6,558
3A	AP	Lathrotriccus euleri	3	15	14,154					
3B	AP	Lathrotriccus euleri	1	25	1,699	9,337	FSAF	FSAF	29,063	17,118
3A	AP	Myiopagis caniceps	2	15	9,436	5,558	PID			
3A	AP	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
3A	AP	Myiophobus fasciatus	1	15	4,718	2,779	IB	IB	4,718	2,779
3B	AP	Thamnophilus caerulescens	1	15	4,718					
3A	AP	Thamnophilus caerulescens	2	25	3,397	4,780	FSAF			
3A	AP	Cyanocorax chrysops	2	15	9,436					
3A	AP	Cyanocorax chrysops	4	25	6,794	9,560	FFI	FFI	16,230	9,560
3A	AP	Basileuterus leucoblepharus	1	15	4,718					
3B	AP	Basileuterus leucoblepharus	1	25	1,699	3,779	FSGAF	FSGAF	6,417	3,779
3B	AP	Tangara preciosa	2	25	3,397	2,001	POD			
3B	AP	Leptasthenura setaria	2	15	9,436	5,558	PID			
3B	AP	Turdus albicollis	1	25	1,699	1,000	POS	POS	1,699	1,000
3B	AP	Heliobletus contaminatus	2	25	3,397	2,001	ITR	ITR	11,890	7,003
3B	AP	Basileuterus culicivorus	2	25	3,397	2,001	FSAF			
3B	AP	Myiarchus swainsoni	1	15	4,718	2,779	PID			
3B	AP	Picidae NI	1	25	1,699	1,000	ITR			
3B	AP	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
3B	AP	Sittasomus griseicapillus	2	25	3,397	2,001	ITR			
3C	AP	Pipraeidea melanonota	1	25	1,699	1,000	POD			
3C	AP	Turdus rufiventris	1	25	1,699	1,000	OB			
3C	AP	Dendrocolaptes platyrostris	1	25	1,699	1,000	ITRS	ITRS	1,699	1,000
3C	AP	Xiphorhynchus fuscus	1	25	1,699	1,000	ITR			
										
4A	AP	Cacicus chrysopterus 	1	25	1,699	1,000	POD	POD	9,814	5,780
4A	AP	Vireo olivaceus	1	15	4,718					
4A	AP	Vireo olivaceus	2	25	3,397	4,780	POD			
4A	AP	Phyllomyias fasciatus	1	25	1,699	1,000	PID	PID	9,814	5,780
4A	AP	Sittasomus griseicapillus	3	25	5,096	3,001	ITR	ITR	6,794	4,002
4A	AP	Phylloscartes ventralis	2	15	9,436					
4A	AP	Phylloscartes ventralis	3	25	5,096	8,559	MI	MI	14,532	8,559
4A	AP	Lathrotriccus euleri	2	25	3,397	2,001	FSAF	FSAF	8,115	4,780
4B	AP	Parula pitiayumi	1	15	4,718					
4A	AP	Parula pitiayumi	2	25	3,397	4,780	PID			
4B	AP	Hemitriccus obsoletus	1	15	4,718	2,779	FSAF			
4C	AP	Chamaeza campanisona	1	25	1,699	1,000	FSGAS	FSGAS	1,699	1,000
4C	AP	Piculus aurulentus	1	25	1,699	1,000	ITR			
