"species"	"forest_dependency"	"natural_forest"	"araucaria_plantation"	"pine_plantation"	"datasetID"
"Basileuterus auricapilla"	"Medium"	14	4	9	"Amarante2023"
"Cacicus chrysopterus"	"Medium"	0	1	2	"Amarante2023"
"Celeus flavescens"	"Medium"	0	0	1	"Amarante2023"
"Chiroxiphia caudata"	"High"	47	12	4	"Amarante2023"
"Chlorostilbon lucidus"	"Medium"	1	0	3	"Amarante2023"
"Conopophaga lineata"	"Medium"	12	6	1	"Amarante2023"
"Cyanoloxia brissonii"	"Does not normally occur in forest"	0	0	1	"Amarante2023"
"Cyclarhis gujanensis"	"Medium"	0	1	0	"Amarante2023"
"Dendrocolaptes platyrostris"	"Medium"	6	5	0	"Amarante2023"
"Dysithamnus mentalis"	"Medium"	7	8	2	"Amarante2023"
"Elaenia mesoleuca"	"High"	1	0	1	"Amarante2023"
"Euphonia chalybea"	"Medium"	0	1	0	"Amarante2023"
"Geotrygon montana"	"Medium"	4	0	1	"Amarante2023"
"Haplospiza unicolor"	"High"	2	0	1	"Amarante2023"
"Heliobletus contaminatus"	"High"	2	0	0	"Amarante2023"
"Lathrotriccus euleri"	"Medium"	3	3	4	"Amarante2023"
"Lepidocolaptes falcinellus"	"Medium"	0	0	1	"Amarante2023"
"Leptopogon amaurocephalus"	"Medium"	8	0	2	"Amarante2023"
"Leptotila rufaxilla"	"Medium"	1	2	1	"Amarante2023"
"Leptotila verreauxi"	"Medium"	1	2	1	"Amarante2023"
"Leucochloris albicollis"	"Medium"	4	13	17	"Amarante2023"
"Micrastur ruficollis"	"Medium"	2	0	0	"Amarante2023"
"Myiodynastes solitarius"	"Medium"	0	1	4	"Amarante2023"
"Myiothlypis leucoblephara"	"Medium"	79	42	19	"Amarante2023"
"Philydor rufum"	"High"	1	0	0	"Amarante2023"
"Pipraeidea melanonota"	"Low"	0	1	0	"Amarante2023"
"Platyrinchus mystaceus"	"Medium"	44	34	13	"Amarante2023"
"Rupornis magnirostris"	"Low"	0	1	0	"Amarante2023"
"Saltator similis"	"Medium"	0	2	0	"Amarante2023"
"Schiffornis virescens"	"High"	1	0	0	"Amarante2023"
"Setophaga pitiayumi"	"Medium"	0	1	0	"Amarante2023"
"Sittasomus griseicapillus"	"Medium"	26	16	9	"Amarante2023"
"Stephanoxis loddigesii"	"Medium"	9	11	16	"Amarante2023"
"Strix hylophila"	"Medium"	0	0	1	"Amarante2023"
"Synallaxis cinerascens"	"High"	20	21	5	"Amarante2023"
"Synallaxis ruficapilla"	"Medium"	8	14	1	"Amarante2023"
"Syndactyla rufosuperciliata"	"Medium"	9	3	1	"Amarante2023"
"Tachyphonus coronatus"	"Medium"	3	5	3	"Amarante2023"
"Tangara preciosa"	"Medium"	1	1	1	"Amarante2023"
"Thamnophilus caerulescens"	"Medium"	1	0	0	"Amarante2023"
"Thlypopsis pyrrhocoma"	"Medium"	22	28	9	"Amarante2023"
"Trichothraupis melanops"	"Medium"	19	4	7	"Amarante2023"
"Trogon surrucura"	"High"	0	0	3	"Amarante2023"
"Turdus albicollis"	"Medium"	88	56	35	"Amarante2023"
"Turdus amaurochalinus"	"Low"	0	3	0	"Amarante2023"
"Turdus leucomelas"	"Medium"	3	0	7	"Amarante2023"
"Turdus rufiventris"	"Low"	26	20	18	"Amarante2023"
"Turdus subalaris"	"Medium"	3	3	4	"Amarante2023"
"Veniliornis spilogaster"	"High"	1	2	0	"Amarante2023"
"Xenops rutilus"	"High"	2	0	0	"Amarante2023"
"Zonotrichia capensis"	"Does not normally occur in forest"	5	15	36	"Amarante2023"
"Amazona pretrei"	"Medium"	0	4	0	"Fonseca2003"
"Basileuterus auricapilla"	"Medium"	19	8	10	"Fonseca2003"
"Cacicus chrysopterus"	"Medium"	57	27	1	"Fonseca2003"
"Campephilus robustus"	"High"	0	0	3	"Fonseca2003"
"Camptostoma obsoletum"	"Low"	6	3	3	"Fonseca2003"
"Cariama cristata"	"Low"	0	0	0	"Fonseca2003"
"Chlorostilbon lucidus"	"Medium"	7	2	1	"Fonseca2003"
"Colaptes campestroides"	"Low"	1	0	4	"Fonseca2003"
"Colaptes melanochloros"	"Medium"	2	0	0	"Fonseca2003"
"Cranioleuca obsoleta"	"Medium"	5	0	5	"Fonseca2003"
"Crypturellus obsoletus"	"High"	2	0	0	"Fonseca2003"
"Cyanocorax coeruleus"	"High"	70	31	6	"Fonseca2003"
"Cyclarhis gujanensis"	"Medium"	25	3	13	"Fonseca2003"
"Elaenia mesoleuca"	"High"	9	2	13	"Fonseca2003"
"Euphonia chalybea"	"Medium"	1	0	0	"Fonseca2003"
"Geothlypis aequinoctialis"	"Does not normally occur in forest"	0	0	2	"Fonseca2003"
"Heliobletus contaminatus"	"High"	9	9	7	"Fonseca2003"
"Hylocharis chrysura"	"Low"	0	1	0	"Fonseca2003"
"Knipolegus cyanirostris"	"Medium"	1	1	0	"Fonseca2003"
"Knipolegus lophotes"	"Does not normally occur in forest"	0	0	1	"Fonseca2003"
"Lepidocolaptes falcinellus"	"Medium"	5	7	0	"Fonseca2003"
"Leptasthenura setaria"	"Medium"	24	33	2	"Fonseca2003"
"Leptotila verreauxi"	"Medium"	2	6	2	"Fonseca2003"
"Leucochloris albicollis"	"Medium"	1	4	2	"Fonseca2003"
"Microspingus cabanisi"	"Medium"	6	4	18	"Fonseca2003"
"Milvago chimachima"	"Does not normally occur in forest"	0	0	0	"Fonseca2003"
"Myiarchus swainsoni"	"Low"	0	0	4	"Fonseca2003"
"Myiothlypis leucoblephara"	"Medium"	30	10	12	"Fonseca2003"
"Penelope obscura"	"Medium"	14	0	0	"Fonseca2003"
"Phyllomyias fasciatus"	"High"	2	0	6	"Fonseca2003"
"Phylloscartes ventralis"	"High"	26	27	26	"Fonseca2003"
"Piculus aurulentus"	"High"	0	4	0	"Fonseca2003"
"Pipraeidea melanonota"	"Low"	0	1	0	"Fonseca2003"
"Procnias nudicollis"	"High"	7	4	0	"Fonseca2003"
"Pyrrhura frontalis"	"Medium"	29	4	9	"Fonseca2003"
"Rhynchotus rufescens"	"Does not normally occur in forest"	0	0	1	"Fonseca2003"
"Saltator similis"	"Medium"	11	2	2	"Fonseca2003"
"Sclerurus scansor"	"High"	11	0	0	"Fonseca2003"
"Scytalopus speluncae"	"High"	0	0	1	"Fonseca2003"
"Serpophaga nigricans"	"Low"	1	0	0	"Fonseca2003"
"Serpophaga subcristata"	"Low"	2	0	2	"Fonseca2003"
"Stephanophorus diadematus"	"Medium"	2	0	6	"Fonseca2003"
"Synallaxis cinerascens"	"High"	0	0	1	"Fonseca2003"
"Synallaxis spixi"	"Does not normally occur in forest"	2	2	2	"Fonseca2003"
"Tangara preciosa"	"Medium"	6	0	0	"Fonseca2003"
"Tangara sayaca"	"Low"	0	0	7	"Fonseca2003"
"Thamnophilus caerulescens"	"Medium"	25	8	2	"Fonseca2003"
"Theristicus caudatus"	"Does not normally occur in forest"	2	3	0	"Fonseca2003"
"Tityra inquisitor"	"Medium"	2	0	2	"Fonseca2003"
"Triclaria malachitacea"	"Medium"	1	0	0	"Fonseca2003"
"Troglodytes aedon"	"Low"	19	0	8	"Fonseca2003"
"Trogon rufus"	"High"	0	2	0	"Fonseca2003"
"Trogon surrucura"	"High"	1	2	0	"Fonseca2003"
"Turdus amaurochalinus"	"Low"	0	2	1	"Fonseca2003"
"Turdus rufiventris"	"Low"	11	9	5	"Fonseca2003"
"Veniliornis spilogaster"	"High"	0	2	3	"Fonseca2003"
"Vireo olivaceus"	"High"	3	7	3	"Fonseca2003"
"Zonotrichia capensis"	"Does not normally occur in forest"	0	0	0	"Fonseca2003"
"Basileuterus auricapilla"	"Medium"	41	14	32	"Mendonca-Lima2012"
"Cacicus chrysopterus"	"Medium"	4	1	1	"Mendonca-Lima2012"
"Camptostoma obsoletum"	"Low"	4	6	0	"Mendonca-Lima2012"
"Chamaeza campanisona"	"High"	1	1	0	"Mendonca-Lima2012"
"Chiroxiphia caudata"	"High"	1	0	0	"Mendonca-Lima2012"
"Colaptes melanochloros"	"Medium"	1	0	0	"Mendonca-Lima2012"
"Conopophaga lineata"	"Medium"	1	1	0	"Mendonca-Lima2012"
"Contopus cinereus"	"Medium"	2	0	2	"Mendonca-Lima2012"
"Cranioleuca obsoleta"	"Medium"	1	4	3	"Mendonca-Lima2012"
"Cyanocorax chrysops"	"Medium"	1	6	0	"Mendonca-Lima2012"
"Cyanoloxia brissonii"	"Does not normally occur in forest"	1	0	4	"Mendonca-Lima2012"
"Cyclarhis gujanensis"	"Medium"	7	6	7	"Mendonca-Lima2012"
"Dendrocolaptes platyrostris"	"Medium"	0	1	0	"Mendonca-Lima2012"
"Drymophila malura"	"High"	3	1	1	"Mendonca-Lima2012"
"Dysithamnus mentalis"	"Medium"	9	0	0	"Mendonca-Lima2012"
"Euphonia chalybea"	"Medium"	2	0	0	"Mendonca-Lima2012"
"Haplospiza unicolor"	"High"	1	0	0	"Mendonca-Lima2012"
"Heliobletus contaminatus"	"High"	12	8	4	"Mendonca-Lima2012"
"Hemithraupis guira"	"Medium"	12	15	0	"Mendonca-Lima2012"
"Hemitriccus obsoletus"	"High"	5	4	0	"Mendonca-Lima2012"
"Hylopezus nattereri"	"Medium"	1	0	0	"Mendonca-Lima2012"
"Hylophilus poicilotis"	"Medium"	4	3	5	"Mendonca-Lima2012"
"Lathrotriccus euleri"	"Medium"	16	16	7	"Mendonca-Lima2012"
"Lepidocolaptes falcinellus"	"Medium"	3	4	5	"Mendonca-Lima2012"
"Leptasthenura setaria"	"Medium"	0	20	0	"Mendonca-Lima2012"
"Leptasthenura striolata"	"Medium"	0	1	0	"Mendonca-Lima2012"
"Leptopogon amaurocephalus"	"Medium"	3	1	0	"Mendonca-Lima2012"
"Leucochloris albicollis"	"Medium"	3	1	3	"Mendonca-Lima2012"
"Microspingus cabanisi"	"Medium"	1	4	26	"Mendonca-Lima2012"
"Molothrus bonariensis"	"Low"	0	1	0	"Mendonca-Lima2012"
"Muscipipra vetula"	"Medium"	0	1	0	"Mendonca-Lima2012"
"Myiarchus swainsoni"	"Low"	3	4	0	"Mendonca-Lima2012"
"Myiodynastes solitarius"	"Medium"	1	1	0	"Mendonca-Lima2012"
"Myiopagis caniceps"	"High"	1	4	0	"Mendonca-Lima2012"
"Myiophobus fasciatus"	"Low"	0	1	8	"Mendonca-Lima2012"
"Myiothlypis leucoblephara"	"Medium"	14	7	21	"Mendonca-Lima2012"
"Pachyramphus castaneus"	"Medium"	2	2	0	"Mendonca-Lima2012"
"Pachyramphus polychopterus"	"Medium"	0	2	0	"Mendonca-Lima2012"
"Pachyramphus viridis"	"Medium"	2	0	0	"Mendonca-Lima2012"
"Philydor rufum"	"High"	2	0	0	"Mendonca-Lima2012"
"Phyllomyias burmeisteri"	"High"	2	0	0	"Mendonca-Lima2012"
"Phyllomyias fasciatus"	"High"	5	4	0	"Mendonca-Lima2012"
"Phyllomyias virescens"	"High"	9	15	9	"Mendonca-Lima2012"
"Phylloscartes ventralis"	"High"	24	29	11	"Mendonca-Lima2012"
"Piaya cayana"	"Medium"	1	0	0	"Mendonca-Lima2012"
"Piculus aurulentus"	"High"	0	2	0	"Mendonca-Lima2012"
"Picumnus nebulosus"	"High"	2	0	3	"Mendonca-Lima2012"
"Pipraeidea melanonota"	"Low"	8	3	9	"Mendonca-Lima2012"
"Platyrinchus mystaceus"	"Medium"	4	1	6	"Mendonca-Lima2012"
"Poecilotriccus plumbeiceps"	"Medium"	1	4	4	"Mendonca-Lima2012"
"Ramphastos dicolorus"	"Medium"	0	1	0	"Mendonca-Lima2012"
"Saltator maxillosus"	"High"	0	4	2	"Mendonca-Lima2012"
"Saltator similis"	"Medium"	1	0	3	"Mendonca-Lima2012"
"Schiffornis virescens"	"High"	6	3	3	"Mendonca-Lima2012"
"Scytalopus speluncae"	"High"	1	0	0	"Mendonca-Lima2012"
"Setophaga pitiayumi"	"Medium"	21	19	1	"Mendonca-Lima2012"
"Sittasomus griseicapillus"	"Medium"	15	17	10	"Mendonca-Lima2012"
"Stephanophorus diadematus"	"Medium"	1	1	4	"Mendonca-Lima2012"
"Stephanoxis loddigesii"	"Medium"	2	0	0	"Mendonca-Lima2012"
"Synallaxis cinerascens"	"High"	0	2	2	"Mendonca-Lima2012"
"Synallaxis ruficapilla"	"Medium"	2	6	12	"Mendonca-Lima2012"
"Synallaxis spixi"	"Does not normally occur in forest"	0	0	2	"Mendonca-Lima2012"
"Syndactyla rufosuperciliata"	"Medium"	2	5	4	"Mendonca-Lima2012"
"Tachyphonus coronatus"	"Medium"	3	0	0	"Mendonca-Lima2012"
"Tangara preciosa"	"Medium"	3	5	2	"Mendonca-Lima2012"
"Thamnophilus caerulescens"	"Medium"	3	5	5	"Mendonca-Lima2012"
"Thlypopsis pyrrhocoma"	"Medium"	9	6	11	"Mendonca-Lima2012"
"Tolmomyias sulphurescens"	"Medium"	4	0	0	"Mendonca-Lima2012"
"Troglodytes aedon"	"Low"	0	0	3	"Mendonca-Lima2012"
"Trogon rufus"	"High"	1	0	0	"Mendonca-Lima2012"
"Trogon surrucura"	"High"	6	3	0	"Mendonca-Lima2012"
"Turdus albicollis"	"Medium"	18	9	8	"Mendonca-Lima2012"
"Turdus amaurochalinus"	"Low"	2	1	6	"Mendonca-Lima2012"
"Turdus rufiventris"	"Low"	10	2	4	"Mendonca-Lima2012"
"Veniliornis spilogaster"	"High"	3	0	2	"Mendonca-Lima2012"
"Vireo olivaceus"	"High"	15	9	8	"Mendonca-Lima2012"
"Xenops rutilus"	"High"	2	0	0	"Mendonca-Lima2012"
"Xiphorhynchus fuscus"	"Medium"	2	3	0	"Mendonca-Lima2012"
"Zonotrichia capensis"	"Does not normally occur in forest"	0	6	37	"Mendonca-Lima2012"
"Basileuterus auricapilla"	"Medium"	24	25	23	"Prestes2003mn"
"Cacicus chrysopterus"	"Medium"	1	0	0	"Prestes2003mn"
"Camptostoma obsoletum"	"Low"	1	0	1	"Prestes2003mn"
"Celeus flavescens"	"Medium"	1	0	0	"Prestes2003mn"
"Chiroxiphia caudata"	"High"	26	15	19	"Prestes2003mn"
"Chlorostilbon lucidus"	"Medium"	2	2	5	"Prestes2003mn"
"Colaptes melanochloros"	"Medium"	1	0	0	"Prestes2003mn"
"Conopophaga lineata"	"Medium"	5	6	2	"Prestes2003mn"
"Crypturellus obsoletus"	"High"	3	0	2	"Prestes2003mn"
"Cyanocorax coeruleus"	"High"	0	2	1	"Prestes2003mn"
"Cyanoloxia brissonii"	"Does not normally occur in forest"	0	3	13	"Prestes2003mn"
"Cyanoloxia glaucocaerulea"	"Medium"	0	2	1	"Prestes2003mn"
"Cyclarhis gujanensis"	"Medium"	4	5	7	"Prestes2003mn"
"Dendrocolaptes platyrostris"	"Medium"	14	21	6	"Prestes2003mn"
"Drymophila malura"	"High"	0	0	1	"Prestes2003mn"
"Elaenia albiceps"	"Medium"	0	0	1	"Prestes2003mn"
"Elaenia mesoleuca"	"High"	0	0	5	"Prestes2003mn"
"Elaenia parvirostris"	"Medium"	0	0	3	"Prestes2003mn"
"Haplospiza unicolor"	"High"	3	3	3	"Prestes2003mn"
"Hemitriccus obsoletus"	"High"	0	0	2	"Prestes2003mn"
"Knipolegus cyanirostris"	"Medium"	0	2	4	"Prestes2003mn"
"Lathrotriccus euleri"	"Medium"	14	10	10	"Prestes2003mn"
"Lepidocolaptes falcinellus"	"Medium"	2	6	5	"Prestes2003mn"
"Leptopogon amaurocephalus"	"Medium"	7	11	9	"Prestes2003mn"
"Leptotila rufaxilla"	"Medium"	3	1	1	"Prestes2003mn"
"Leptotila verreauxi"	"Medium"	2	7	5	"Prestes2003mn"
"Leucochloris albicollis"	"Medium"	1	4	19	"Prestes2003mn"
"Micrastur ruficollis"	"Medium"	1	1	0	"Prestes2003mn"
"Microspingus cabanisi"	"Medium"	6	7	27	"Prestes2003mn"
"Milvago chimachima"	"Does not normally occur in forest"	0	0	1	"Prestes2003mn"
"Mionectes rufiventris"	"High"	3	5	0	"Prestes2003mn"
"Myiarchus swainsoni"	"Low"	1	0	0	"Prestes2003mn"
"Myiodynastes solitarius"	"Medium"	6	1	4	"Prestes2003mn"
"Myiopagis viridicata"	"Medium"	0	0	1	"Prestes2003mn"
"Myiothlypis leucoblephara"	"Medium"	39	38	27	"Prestes2003mn"
"Pachyramphus polychopterus"	"Medium"	1	0	0	"Prestes2003mn"
"Phyllomyias fasciatus"	"High"	5	10	5	"Prestes2003mn"
"Phylloscartes ventralis"	"High"	1	0	1	"Prestes2003mn"
"Piaya cayana"	"Medium"	0	2	0	"Prestes2003mn"
"Piculus aurulentus"	"High"	0	2	2	"Prestes2003mn"
"Pipraeidea melanonota"	"Low"	3	6	7	"Prestes2003mn"
"Platyrinchus mystaceus"	"Medium"	23	8	10	"Prestes2003mn"
"Poecilotriccus plumbeiceps"	"Medium"	0	1	3	"Prestes2003mn"
"Pogonotriccus eximius"	"High"	2	4	3	"Prestes2003mn"
"Ramphastos dicolorus"	"Medium"	0	1	0	"Prestes2003mn"
"Rupornis magnirostris"	"Low"	1	0	0	"Prestes2003mn"
"Saltator maxillosus"	"High"	2	1	8	"Prestes2003mn"
"Saltator similis"	"Medium"	1	4	5	"Prestes2003mn"
"Schiffornis virescens"	"High"	1	3	0	"Prestes2003mn"
"Serpophaga subcristata"	"Low"	0	0	1	"Prestes2003mn"
"Setophaga pitiayumi"	"Medium"	0	0	1	"Prestes2003mn"
"Sittasomus griseicapillus"	"Medium"	27	20	12	"Prestes2003mn"
"Stephanoxis loddigesii"	"Medium"	6	8	7	"Prestes2003mn"
"Synallaxis cinerascens"	"High"	26	20	11	"Prestes2003mn"
"Synallaxis ruficapilla"	"Medium"	6	8	10	"Prestes2003mn"
"Synallaxis spixi"	"Does not normally occur in forest"	0	3	8	"Prestes2003mn"
"Syndactyla rufosuperciliata"	"Medium"	9	4	8	"Prestes2003mn"
"Tachyphonus coronatus"	"Medium"	1	3	19	"Prestes2003mn"
"Tangara preciosa"	"Medium"	4	0	0	"Prestes2003mn"
"Thamnophilus caerulescens"	"Medium"	12	13	14	"Prestes2003mn"
"Thlypopsis pyrrhocoma"	"Medium"	48	50	75	"Prestes2003mn"
"Tityra braziliensis"	"Medium"	1	1	0	"Prestes2003mn"
"Tolmomyias sulphurescens"	"Medium"	0	0	2	"Prestes2003mn"
"Trichothraupis melanops"	"Medium"	21	18	24	"Prestes2003mn"
"Troglodytes aedon"	"Low"	0	0	6	"Prestes2003mn"
"Trogon surrucura"	"High"	0	2	1	"Prestes2003mn"
"Turdus albicollis"	"Medium"	56	41	19	"Prestes2003mn"
"Turdus amaurochalinus"	"Low"	0	0	1	"Prestes2003mn"
"Turdus leucomelas"	"Medium"	2	1	2	"Prestes2003mn"
"Turdus rufiventris"	"Low"	10	16	9	"Prestes2003mn"
"Turdus subalaris"	"Medium"	2	1	1	"Prestes2003mn"
"Veniliornis spilogaster"	"High"	3	6	3	"Prestes2003mn"
"Xenops rutilus"	"High"	0	0	1	"Prestes2003mn"
"Zonotrichia capensis"	"Does not normally occur in forest"	1	6	95	"Prestes2003mn"
"Accipiter striatus"	"Medium"	2	5	3	"Prestes2003pc"
"Amazona pretrei"	"Medium"	1	1	6	"Prestes2003pc"
"Anthus lutescens"	"Does not normally occur in forest"	0	0	0	"Prestes2003pc"
"Antrostomus rufus"	"Medium"	0	0	0	"Prestes2003pc"
"Aramides saracura"	"Medium"	118	96	123	"Prestes2003pc"
"Asio stygius"	"Medium"	1	0	3	"Prestes2003pc"
"Attila phoenicurus"	"Medium"	0	0	0	"Prestes2003pc"
"Basileuterus auricapilla"	"Medium"	310	307	337	"Prestes2003pc"
"Batara cinerea"	"Medium"	0	1	2	"Prestes2003pc"
"Bubulcus ibis"	"Low"	0	0	0	"Prestes2003pc"
"Cacicus chrysopterus"	"Medium"	164	168	116	"Prestes2003pc"
"Camptostoma obsoletum"	"Low"	28	5	41	"Prestes2003pc"
"Caracara plancus"	"Does not normally occur in forest"	5	0	0	"Prestes2003pc"
"Cathartes aura"	"Low"	0	0	1	"Prestes2003pc"
"Celeus flavescens"	"Medium"	70	19	43	"Prestes2003pc"
"Chamaeza campanisona"	"High"	6	0	0	"Prestes2003pc"
"Chiroxiphia caudata"	"High"	197	68	114	"Prestes2003pc"
"Chloroceryle americana"	"Low"	0	0	2	"Prestes2003pc"
"Chlorophonia cyanea"	"Medium"	1	0	2	"Prestes2003pc"
"Chlorostilbon lucidus"	"Medium"	1	0	5	"Prestes2003pc"
"Coccyzus melacoryphus"	"Medium"	1	1	2	"Prestes2003pc"
"Colaptes melanochloros"	"Medium"	1	2	1	"Prestes2003pc"
"Conopophaga lineata"	"Medium"	47	36	33	"Prestes2003pc"
