"Order" "Family.name" "Family" "Common.name" "Scientific.name" "X2022.IUCN.Red.List.category" "Forest.dependency" "Migratory.status"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Variegated Flycatcher" "Empidonomus varius" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Fringillidae" "Finches" "Green-throated Euphonia" "Euphonia chalybea" "NT" "Medium" "not a migrant"
"PASSERIFORMES" "Fringillidae" "Finches" "Purple-throated Euphonia" "Euphonia chlorotica" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Fringillidae" "Finches" "Golden-rumped Euphonia" "Euphonia cyanocephala" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Fringillidae" "Finches" "Violaceous Euphonia" "Euphonia violacea" "LC" "Medium" "not a migrant"
"FALCONIFORMES" "Falconidae" "Falcons, Caracaras" "Aplomado Falcon" "Falco femoralis" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Parulidae" "New World Warblers" "Masked Yellowthroat" "Geothlypis aequinoctialis" "LC" "Does not normally occur in forest" "full migrant"
"COLUMBIFORMES" "Columbidae" "Pigeons, Doves" "Ruddy Quail-dove" "Geotrygon montana" "LC" "Medium" "nomadic"
"PASSERIFORMES" "Grallariidae" "Antpittas" "Variegated Antpitta" "Grallaria varia" "LC" "Medium" "not a migrant"
"CUCULIFORMES" "Cuculidae" "Cuckoos" "Guira Cuckoo" "Guira guira" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Cardinalidae" "Cardinals" "Red-crowned Ant-tanager" "Habia rubica" "LC" "High" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Uniform Finch" "Haplospiza unicolor" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Sharp-billed Treehunter" "Heliobletus contaminatus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Guira Tanager" "Hemithraupis guira" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Brown-breasted Bamboo-tyrant" "Hemitriccus obsoletus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Southern Rufous-winged Antwren" "Herpsilochmus rufimarginatus" "LC" "Medium" "not a migrant"
"CAPRIMULGIFORMES" "Caprimulgidae" "Nightjars" "Scissor-tailed Nightjar" "Hydropsalis torquata" "LC" "Does not normally occur in forest" "full migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "Lineated Woodpecker" "Hylatomus lineatus" "LC" "Low" "not a migrant"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "Gilded Hummingbird" "Hylocharis chrysura" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Grallariidae" "Antpittas" "Speckle-breasted Antpitta" "Hylopezus nattereri" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Vireonidae" "Vireos" "Rufous-crowned Greenlet" "Hylophilus poicilotis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Spot-backed Antshrike" "Hypoedaleus guttatus" "LC" "High" "not a migrant"
"ACCIPITRIFORMES" "Accipitridae" "Hawks, Eagles" "Plumbeous Kite" "Ictinia plumbea" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Blue-billed Black-tyrant" "Knipolegus cyanirostris" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Crested Black-tyrant" "Knipolegus lophotes" "LC" "Does not normally occur in forest" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Euler's Flycatcher" "Lathrotriccus euleri" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Piratic Flycatcher" "Legatus leucophaius" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Scalloped Woodcreeper" "Lepidocolaptes falcinellus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Araucaria Tit-spinetail" "Leptasthenura setaria" "NT" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Striolated Tit-spinetail" "Leptasthenura striolata" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Sepia-capped Flycatcher" "Leptopogon amaurocephalus" "LC" "Medium" "not a migrant"
"COLUMBIFORMES" "Columbidae" "Pigeons, Doves" "Grey-fronted Dove" "Leptotila rufaxilla" "LC" "Medium" "not a migrant"
"COLUMBIFORMES" "Columbidae" "Pigeons, Doves" "White-tipped Dove" "Leptotila verreauxi" "LC" "Medium" "not a migrant"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "White-throated Hummingbird" "Leucochloris albicollis" "LC" "Medium" "full migrant"
"CAPRIMULGIFORMES" "Caprimulgidae" "Nightjars" "Short-tailed Nighthawk" "Lurocalis semitorquatus" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Large-tailed Antshrike" "Mackenziaena leachii" "LC" "Medium" "not a migrant"
